CurrentEquipmentDays,PercChangeMinutes,MonthlyMinutes,PeakCallsInOut,OffPeakCallsInOut,ReceivedCalls,MonthsInService,UnansweredCalls,OutboundCalls,TotalRecurringCharge,AgeHH1,InboundCalls,CustomerCareCalls
361.0,-157.0,5.393627546352361,4.07753744390572,3.218875824868201,4.58700621536042,4.127134385045092,1.9878743481543453,0.0,22.0,62.0,0.0,0.0
1504.0,-4.0,2.3978952727983707,1.791759469228055,0.6931471805599453,0.0,4.07753744390572,1.308332819650179,0.0,17.0,40.0,0.0,0.0
1812.0,-2.0,2.19722457733622,0.832909122935104,1.547562508716013,0.3364722366212129,4.110873864173311,0.0,0.262364264467491,38.0,26.0,0.0,0.0
458.0,157.0,7.180069874302796,6.322026495189462,5.719327685991663,5.304796332645746,4.0943445622221,4.343805421853684,5.917010361183034,75.0,30.0,4.997212273764115,1.667706820558076
852.0,0.0,0.0,0.0,0.0,0.0,3.9889840465642745,0.0,0.0,17.0,46.0,0.0,0.0
231.0,148.0,6.52649485957079,3.535145354171894,3.9889840465642745,3.765840495250065,3.9889840465642745,2.639057329615259,2.0412203288596382,52.0,28.0,0.0,0.5306282510621704
601.0,60.0,3.295836866004329,0.9932517730102834,0.9932517730102834,0.0,4.060443010546419,1.1939224684724346,0.0,30.0,52.0,0.0,0.0
464.0,24.0,4.59511985013459,2.1633230256605382,2.1162555148025524,0.0,4.0943445622221,1.6094379124341005,1.547562508716013,66.0,46.0,0.0,1.6094379124341005
544.0,20.0,3.218875824868201,2.33214389523559,0.9932517730102834,1.2237754316221157,3.9889840465642745,0.6931471805599453,1.6094379124341005,35.0,36.0,0.9932517730102834,0.0
388.0,43.0,6.963189985870238,0.0,0.0,0.0,4.02535169073515,0.0,0.0,75.0,46.0,0.0,0.0
354.0,-2.0,1.0986122886681096,0.5306282510621704,0.5306282510621704,0.7419373447293773,3.9889840465642745,0.262364264467491,0.262364264467491,25.0,42.0,0.0,0.0
199.0,-200.0,7.587310506022615,5.865617837242006,4.865224091322398,6.578000430108449,4.0943445622221,3.7999735016195233,3.918005077105693,85.0,30.0,1.7404661748405044,0.262364264467491
697.0,202.0,5.602118820879701,4.147885329150131,2.9444389791664403,4.062165663857866,4.02535169073515,2.1633230256605382,2.4849066497880004,37.0,58.0,1.547562508716013,0.6931471805599453
530.0,-16.0,6.089044875446846,4.957937505095806,2.72785282839839,4.552823705615882,4.060443010546419,2.9069010598473755,0.0,60.0,99.0,0.0,1.547562508716013
253.0,-58.0,5.093750200806762,3.0106208860477417,3.768152635008444,3.673765816303888,4.04305126783455,2.302585092994046,3.563882963939251,70.0,30.0,1.9021075263969205,0.262364264467491
