PercChangeMinutes,RevenuePerMinute,CurrentEquipmentDays,MonthlyMinutes,EquipmentAgeRatio,DeviceToServiceAgeRatio,PeakCallsInOut,OffPeakCallsInOut,ServiceIssueRate,CallRatio,ServiceIssues,TotalCalls,ReceivedCalls,UnansweredCalls,AgeHH1,TotalRecurringCharge,OutboundCalls,MonthsInService,ServiceAgeInDays,InboundCalls,CustomerCareCalls,Churn_numeric
-157.0,0.109090909090909,5.891644211825771,5.393627546352361,0.1971600218459858,0.1971600218459858,4.07753744390572,3.2188758248682006,0.13554549199622382,0.0,2.302585092994046,4.58700621536042,4.58700621536042,1.9878743481543455,62.0,22.0,0.0,4.127134385045092,7.5126175446745105,0.0,0.0,1
-4.0,1.5445454545454544,7.316548177182976,2.3978952727983707,0.8638713383113154,0.8638713383113154,1.791759469228055,0.6931471805599453,0.054423981887688,0.0,1.4586150226995167,0.0,0.0,1.308332819650179,40.0,17.0,0.0,4.07753744390572,7.462214939768189,0.0,0.0,1
-2.0,4.222222222222222,7.502738210754851,2.1972245773362196,1.0061077179344808,1.0061077179344808,0.832909122935104,1.547562508716013,0.0,0.26236426446749106,0.0,0.5306282510621704,0.33647223662121295,0.0,26.0,38.0,0.26236426446749106,4.110873864173311,7.496097345175956,0.0,0.0,0
157.0,0.0626656511805026,6.129050210060545,7.180069874302796,0.2586109542631282,0.2586109542631282,6.322026495189462,5.719327685991663,1.4484863813763382,1.253341951431546,5.280153395920365,6.5773048746794185,5.304796332645746,4.343805421853684,30.0,75.0,5.917010361183034,4.0943445622221,7.479299637782834,4.997212273764115,1.667706820558076,0
0.0,17.14,6.748759547491679,0.0,0.535512256442489,0.535512256442489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,17.0,0.0,3.9889840465642745,7.372118028337787,0.0,0.0,1
148.0,0.055710102489019,5.44673737166631,6.52649485957079,0.1451917033312382,0.1451917033312382,3.535145354171894,3.9889840465642745,0.49288792307932333,2.0412203288596382,3.5667118201397288,3.910021002757473,3.765840495250065,2.639057329615259,28.0,52.0,2.0412203288596382,3.9889840465642745,7.372118028337787,0.0,0.5306282510621704,0
60.0,1.1725925925925926,6.400257445308821,3.295836866004329,0.3512565751022793,0.3512565751022793,0.9932517730102834,0.9932517730102834,0.07151841524698807,0.0,1.667706820558076,0.0,0.0,1.1939224684724346,52.0,30.0,0.0,4.060443010546419,7.444833273892193,0.0,0.0,0
24.0,0.6275757575757576,6.142037405587356,4.59511985013459,0.2619988706945229,0.2619988706945229,2.1633230256605382,2.1162555148025524,0.07386984856645543,1.547562508716013,1.7227665977411035,1.547562508716013,0.0,1.6094379124341003,46.0,66.0,1.547562508716013,4.0943445622221,7.479299637782834,0.0,1.6094379124341003,0
20.0,1.412,6.300785794663244,3.2188758248682006,0.3419233186675047,0.3419233186675047,2.33214389523559,0.9932517730102834,0.018349138668196516,0.9088557533866369,0.6931471805599453,2.2082744135228043,1.2237754316221157,0.6931471805599453,36.0,35.0,1.6094379124341003,3.9889840465642745,7.372118028337787,0.9932517730102834,0.0,0
43.0,0.0766319772942289,5.963579343618446,6.963189985870238,0.2350090854027862,0.2350090854027862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,75.0,0.0,4.02535169073515,7.409136443920128,0.0,0.0,0
-2.0,8.41,5.872117789475416,1.0986122886681096,0.2225015713387806,0.2225015713387806,0.5306282510621704,0.5306282510621704,0.005540180375615315,0.26236426446749106,0.26236426446749106,0.8754687373538999,0.7419373447293773,0.26236426446749106,42.0,25.0,0.26236426446749106,3.9889840465642745,7.372118028337787,0.0,0.0,0
-200.0,0.1077090724784591,5.298317366548036,7.587310506022615,0.1123658949745906,0.1123658949745906,5.865617837242006,4.865224091322398,0.7072144377713807,2.2668670103919664,4.138361447638875,6.650408406326429,6.578000430108449,3.7999735016195233,30.0,85.0,3.9180050771056933,4.0943445622221,7.479299637782834,1.7404661748405044,0.26236426446749106,0
202.0,0.1570479704797048,6.548219102762372,5.602118820879701,0.422168382798304,0.422168382798304,4.147885329150131,2.9444389791664403,0.2746511084601416,1.2060982036382495,2.928523523860541,4.28771595520264,4.062165663857866,2.1633230256605382,58.0,37.0,2.4849066497880004,4.02535169073515,7.409136443920128,1.547562508716013,0.6931471805599453,0
-16.0,0.1429024943310657,6.274762021241939,6.089044875446846,0.309760374050263,0.309760374050263,4.957937505095806,2.72785282839839,0.3857314439512141,0.0,3.342861804649192,4.552823705615882,4.552823705615882,2.9069010598473755,99.0,60.0,0.0,4.060443010546419,7.444833273892193,0.0,1.547562508716013,0
